"","year","uni","set","theme","item","question","pos","rate"
"229","2017","belfast","rg","teaching","challenge","My course has challenged me to achieve my best work",80.9,0.556179775280899
"230","2017","belfast","rg","learnopp","apply","My course has provided me with opportunities to apply what I have learnt",73,0.460674157303371
"231","2017","belfast","rg","learnopp","diff_topics","My course has provided me with opportunities to bring information and ideas together from different topics",84.3,0.612359550561798
"232","2017","belfast","rg","learnopp","depth","My course has provided me with opportunities to explore ideas or concepts in depth",85.4,0.617977528089888
"233","2017","belfast","rg","management","theme_sum","Organisation and management",86.5,1.82584269662921
"234","2017","belfast","rg","overall","satisfied","Overall satisfaction",85.2,0.595505617977528
"235","2017","belfast","rg","teaching","explain","Staff are good at explaining things",91,0.550561797752809
"236","2017","belfast","rg","teaching","interest","Staff have made the subject interesting",85.4,0.528089887640449
"237","2017","belfast","rg","voice","valued","Staff value students’ views and opinions about the course",77.3,0.49438202247191
"238","2017","belfast","rg","voice","theme_sum","Student Voice",73.1,1.44943820224719
"239","2017","belfast","rg","teaching","stimulating","The course is intellectually stimulating",88.8,0.702247191011236
"240","2017","belfast","rg","management","organised","The course is well organised and running smoothly",80.9,0.556179775280899
"241","2017","belfast","rg","assessment","clear","The criteria used in marking have been clear in advance",80.9,0.52247191011236
"242","2017","belfast","rg","resource","IT","The IT resources and facilities provided have supported my learning well",87.5,0.679775280898876
"243","2017","belfast","rg","resource","library","The library resources (e.g. books, online services and learning spaces) have supported my learning well",92.1,0.764044943820225
"244","2017","belfast","rg","teaching","theme_sum","The teaching on my course",86.5,2.33707865168539
"245","2017","belfast","rg","management","timetable","The timetable works efficiently for me",95.5,0.730337078651685
"246","2017","leeds","rg","acad_support","theme_sum","Academic support",80,1.51428571428571
"247","2017","leeds","rg","management","comms","Any changes in the course or teaching have been communicated effectively",91.2,0.595238095238095
"248","2017","leeds","rg","assess_feed","theme_sum","Assessment and feedback",70.5,1.59047619047619
"249","2017","leeds","rg","assessment","timely","Feedback on my work has been timely",84.8,0.595238095238095
"250","2017","leeds","rg","academic","choices","Good advice was available when I needed to make study choices on my course",75.7,0.452380952380952
"251","2017","leeds","rg","community","staffstudent","I feel part of a community of staff and students",67.6,0.366666666666667
"252","2017","leeds","rg","resource","access","I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",89.4,0.657142857142857
"253","2017","leeds","rg","academic","contact","I have been able to contact staff when I needed to",88.6,0.595238095238095
"254","2017","leeds","rg","voice","opportunity","I have had the right opportunities to provide feedback on my course",82.9,0.585714285714286
"255","2017","leeds","rg","community","studentwork","I have had the right opportunities to work with other students as part of my course",89.5,0.647619047619048
"256","2017","leeds","rg","academic","support","I have received helpful comments on my work",65.7,0.295238095238095
"257","2017","leeds","rg","assessment","helpful","I have received helpful comments on my work",74.3,0.471428571428571
"258","2017","leeds","rg","academic","choices","I have received sufficient advice and guidance in relation to my course",75.2,0.466666666666667
"259","2017","leeds","rg","voice","acted_upon","It is clear how students’ feedback on the course has been acted on",42.9,0.142857142857143
"260","2017","leeds","rg","community","theme_sum","Learning community",78.6,1.01428571428571
"261","2017","leeds","rg","learnopp","theme_sum","Learning opportunities",77.1,1.43809523809524
"262","2017","leeds","rg","resource","theme_sum","Learning resources",92.9,2.0952380952381
"263","2017","leeds","rg","assessment","fair","Marking and assessment has been fair",66.7,0.342857142857143
"264","2017","leeds","rg","teaching","challenge","My course has challenged me to achieve my best work",84.8,0.571428571428571
"265","2017","leeds","rg","learnopp","apply","My course has provided me with opportunities to apply what I have learnt",68.6,0.357142857142857
"266","2017","leeds","rg","learnopp","diff_topics","My course has provided me with opportunities to bring information and ideas together from different topics",78.1,0.49047619047619
"267","2017","leeds","rg","learnopp","depth","My course has provided me with opportunities to explore ideas or concepts in depth",84.8,0.59047619047619
"268","2017","leeds","rg","management","theme_sum","Organisation and management",88.7,1.84761904761905
"269","2017","leeds","rg","overall","satisfied","Overall satisfaction",82.9,0.595238095238095
"270","2017","leeds","rg","teaching","explain","Staff are good at explaining things",94.3,0.561904761904762
"271","2017","leeds","rg","teaching","interest","Staff have made the subject interesting",85.7,0.514285714285714
"272","2017","leeds","rg","voice","valued","Staff value students’ views and opinions about the course",70.5,0.404761904761905
"273","2017","leeds","rg","voice","theme_sum","Student Voice",65.4,1.13333333333333
"274","2017","leeds","rg","teaching","stimulating","The course is intellectually stimulating",87.6,0.633333333333333
"275","2017","leeds","rg","management","organised","The course is well organised and running smoothly",83.8,0.552380952380952
"276","2017","leeds","rg","assessment","clear","The criteria used in marking have been clear in advance",64.8,0.357142857142857
"277","2017","leeds","rg","resource","IT","The IT resources and facilities provided have supported my learning well",96.2,0.685714285714286
"278","2017","leeds","rg","resource","library","The library resources (e.g. books, online services and learning spaces) have supported my learning well",93.3,0.752380952380952
"279","2017","leeds","rg","teaching","theme_sum","The teaching on my course",88.1,2.28095238095238
"280","2017","leeds","rg","management","timetable","The timetable works efficiently for me",91.4,0.7
"281","2017","birmingham","rg","acad_support","theme_sum","Academic support",77.1,1.35714285714286
"282","2017","birmingham","rg","management","comms","Any changes in the course or teaching have been communicated effectively",86.9,0.546218487394958
"283","2017","birmingham","rg","assess_feed","theme_sum","Assessment and feedback",61.6,0.968487394957983
"284","2017","birmingham","rg","assessment","timely","Feedback on my work has been timely",60.1,0.19327731092437
"285","2017","birmingham","rg","academic","choices","Good advice was available when I needed to make study choices on my course",65.8,0.321428571428571
"286","2017","birmingham","rg","community","staffstudent","I feel part of a community of staff and students",63.7,0.289915966386555
"287","2017","birmingham","rg","resource","access","I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",87.8,0.590336134453782
"288","2017","birmingham","rg","academic","contact","I have been able to contact staff when I needed to",90.8,0.644957983193277
"289","2017","birmingham","rg","voice","opportunity","I have had the right opportunities to provide feedback on my course",86.9,0.632352941176471
"290","2017","birmingham","rg","community","studentwork","I have had the right opportunities to work with other students as part of my course",88.6,0.613445378151261
"291","2017","birmingham","rg","academic","support","I have received helpful comments on my work",52.9,0.172268907563025
"292","2017","birmingham","rg","assessment","helpful","I have received helpful comments on my work",68.8,0.413865546218487
"293","2017","birmingham","rg","academic","choices","I have received sufficient advice and guidance in relation to my course",74.8,0.390756302521008
"294","2017","birmingham","rg","voice","acted_upon","It is clear how students’ feedback on the course has been acted on",76.4,0.449579831932773
